Unnamed: 0.1.1,link,total_claps,total_responses,total_claps_scaled,total_responses_scaled,score
80,https://medium.com/the-write-brain/comprehensive-guide-to-writing-a-blog-post-medium-will-curate-f22dff1dbd02,4400,19,0.0721725099017163,0.02806499261447563,0.05452950298682003
1035,https://medium.com/s/grow-it-alone/lets-have-a-chat-about-professional-etiquette-shall-we-because-some-of-you-need-it-fd3d35e2bab0,3900,28,0.06300425407070559,0.041358936484490405,0.05434612703621952
290,https://medium.com/personal-growth/how-to-think-and-see-the-world-like-leonardo-da-vinci-322c9ad427d2,4100,24,0.06667155640310987,0.035450516986706065,0.054183140636548346
1431,https://medium.com/splatterme/how-to-do-the-hell-out-of-life-22ac2d1ce666,4300,20,0.07033885873551415,0.02954209748892172,0.05402015423687718
304,https://medium.com/the-mission/professionals-vs-amateurs-6ef9ec64cbc3,4400,18,0.0721725099017163,0.026587887740029542,0.05393866103704159
266,https://medium.com/the-mission/hacking-the-medium-partner-program-f89fbf26b685,3100,42,0.048335044741088455,0.0620384047267356,0.05381638873534732
1271,https://medium.com/the-mission/i-was-never-trained-to-be-a-writer-now-i-make-a-living-from-writing-2eb8fff1f3c5,2900,45,0.044667742408684166,0.06646971935007387,0.05338853318524004
438,https://medium.com/mayooshin-com/lessons-on-how-to-master-the-art-of-focus-and-concentration-from-a-legendary-japanese-archer-5ab51a366375,4700,11,0.07767346340032273,0.016248153618906944,0.0531033394877564
1194,https://medium.com/better-marketing/how-to-be-an-extremely-productive-creative-7e7017c80fc4,4000,24,0.06483790523690773,0.035450516986706065,0.053082949936827065
1,https://medium.com/swlh/why-you-should-never-lunch-alone-cdd36b6ec018,4100,22,0.06667155640310987,0.03249630723781389,0.053001456736991484
183,https://medium.com/the-post-grad-survival-guide/youre-writing-your-medium-posts-all-wrong-here-s-why-8d3d666d0584,2700,48,0.041000440076279884,0.07090103397341213,0.052960677635132784
1215,https://medium.com/@bluebed/speaking-different-languages-through-art-710e0a992dd3,4300,18,0.07033885873551415,0.026587887740029542,0.05283847033732031
634,https://medium.com/swlh/the-9-to-5-workday-is-obsolete-and-doesnt-work-for-everyone-81b23479836e,4000,23,0.06483790523690773,0.033973412112259974,0.05249210798704863
